SrcIP,TotalFlows,SynFreq,AckFreq,FinFreq,RstFreq,PshFreq,UrgFreq,SrcPortEntropy,DestPortEntropy,DestIPEntropy,FlagEntropy,AggregatedLabel
74.125.108.243,1,0.0,1.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0
147.32.84.164,21,0.9523809523809523,1.0,1.0,0.0,1.0,0.0,4.39231742277876,0.5489544344250401,3.3446983751597124,0.5489544344250401,0
217.168.211.184,18,0.7777777777777778,1.0,0.8333333333333334,0.05555555555555555,1.0,0.0,3.7254805569978675,0.8524051786494786,0.9182958340544896,0.9444885341662053,0
88.103.40.117,114,0.9824561403508771,1.0,0.9912280701754386,0.0,1.0,0.0,6.81534615451563,0.12741851179235877,1.1098746521432359,0.14496237144148158,0
147.32.84.242,522,0.14942528735632185,1.0,0.15134099616858238,0.02490421455938697,1.0,0.0,4.411519261391158,0.8989650760120796,0.8989650760120796,0.8834981395649826,0
147.32.84.59,42928,0.9939433469996273,0.9942694744688781,0.9169772642564293,0.3386833768169959,0.8437383525903839,0.0,14.56683857203184,0.8388044992383339,9.17752586865459,2.4577673931326913,0
147.32.87.245,130,0.9384615384615385,1.0,0.9923076923076923,0.038461538461538464,0.9846153846153847,0.0,7.022367813028455,0.5928857192495443,1.712847593606997,0.8840120948687114,0
207.200.96.138,3,0.0,1.0,0.0,0.3333333333333333,1.0,0.0,-0.0,-0.0,-0.0,0.9182958340544896,0
147.32.80.13,709,0.8392101551480959,1.0,0.8631875881523272,0.05923836389280677,0.9943582510578279,0.0,8.39356981629879,2.0247605072049613,2.410813356607334,1.1855012712267556,0
41.153.46.85,1,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0
78.80.125.89,24,0.9583333333333334,1.0,1.0,0.9583333333333334,1.0,0.0,4.584962500721156,0.49715018363696706,0.41381685030363374,0.49715018363696706,0
195.23.102.206,2,0.0,1.0,0.0,0.5,1.0,0.0,-0.0,-0.0,-0.0,1.0,0
205.188.11.75,2,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
89.185.253.133,1,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0
79.126.149.52,2,0.5,1.0,0.0,0.5,1.0,0.0,1.0,-0.0,-0.0,1.0,0
62.44.1.26,1,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0
78.80.14.227,22,0.7272727272727273,1.0,0.7727272727272727,0.0,0.8636363636363636,0.0,3.931720687981077,1.0226297788901695,0.8453509366224365,1.2433003685389576,0
209.85.149.189,4,0.0,1.0,1.0,0.0,1.0,0.0,-0.0,2.0,0.8112781244591328,-0.0,0
203.82.92.92,2,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,-0.0,1.0,0
147.32.3.51,163,0.03067484662576687,1.0,0.0,0.018404907975460124,0.9938650306748467,0.0,2.5697481750745648,-0.0,1.9664361796888603,0.314846276056165,0
74.125.232.217,1,0.0,1.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0
38.107.110.22,1,0.0,1.0,1.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0
121.54.41.180,1,0.0,1.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0
147.32.84.69,143,0.6783216783216783,0.9790209790209791,0.5874125874125874,0.24475524475524477,0.958041958041958,0.0,5.68726030826826,1.1500033213783387,2.4948002295018075,2.432113388422363,0
147.32.87.22,19,0.10526315789473684,1.0,0.10526315789473684,0.05263157894736842,1.0,0.0,0.5907239186406502,0.4854607607459134,0.4854607607459134,0.7742433029172697,0
72.26.193.113,2,0.0,1.0,0.5,0.5,1.0,0.0,-0.0,-0.0,-0.0,1.0,0
62.24.64.42,1,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0
94.100.187.191,1,0.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0
147.32.85.18,131,0.9694656488549618,1.0,0.9541984732824428,0.1297709923664122,0.9694656488549618,0.0,7.03342300153745,1.0513501432368866,2.6886004510290675,1.0524571319839975,0
74.125.232.216,8,0.0,1.0,0.875,0.125,1.0,0.0,0.5435644431995964,2.75,1.5487949406953985,1.5487949406953985,0
147.32.86.89,7614,0.9994746519569214,0.9997373259784608,0.8375361176779617,0.23693196742842132,0.9972419227738377,0.0,11.729049695784978,0.40470050131892094,5.944791444908347,1.4098000843786336,0
147.32.84.131,6296,0.9669631512071156,1.0,0.9625158831003812,0.2770012706480305,0.841168996188056,0.0,12.319789119142115,1.1463847338091266,6.61786918502794,2.247460425311452,0
147.32.86.182,61,0.7868852459016393,1.0,0.9016393442622951,0.29508196721311475,0.9672131147540983,0.0,5.930737337562883,1.5074791162457206,3.6792649893904485,2.6194839346356766,0
69.63.180.46,4,0.0,1.0,1.0,0.5,1.0,0.0,1.0,2.0,0.8112781244591328,1.0,0
147.32.86.44,413,0.9539951573849879,0.9491525423728814,0.9249394673123487,0.13559322033898305,0.9418886198547215,0.0,8.619732717161208,1.708866913776501,1.6940185394249754,2.238239885595713,0
147.32.86.20,140017,1.0,1.0,0.9998285922423705,0.00011427183841962048,0.9999928580100987,0.0,11.951129807208572,0.001156067370107371,1.7430575884970543,0.003442637480803787,0
130.209.31.154,1,0.0,1.0,1.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0
147.32.85.34,261,0.9425287356321839,1.0,0.9501915708812261,0.02681992337164751,1.0,0.0,7.816017226804309,0.6446254484449824,0.5695704509036026,0.5762852153633018,0
90.177.18.152,56,0.16071428571428573,1.0,0.08928571428571429,0.125,0.9464285714285714,0.0,2.019983384220663,0.37123232664087563,0.37123232664087563,1.0066631813292817,0
195.250.146.99,3,0.0,1.0,0.3333333333333333,0.0,1.0,0.0,-0.0,-0.0,-0.0,0.9182958340544896,0
147.32.85.109,8,1.0,1.0,0.875,0.0,0.875,0.0,3.0,1.2987949406953985,1.2987949406953985,0.5435644431995964,0
95.31.4.230,76,1.0,0.0,0.0,0.0,0.0,0.0,6.247927513443591,-0.0,-0.0,-0.0,0
147.228.47.183,20,0.0,1.0,0.05,0.05,0.0,0.0,1.2917601481809733,1.3917601481809734,0.9917601481809734,0.9917601481809734,0
